Season,TeamID,OverallSeed
2017,1462,41
2017,1344,42
2017,1448,43
2017,1348,44
2017,1425,45
2017,1243,46
2017,1305,47
2017,1292,48
2017,1423,49
2017,1343,50
2017,1137,51
2017,1190,52
2017,1436,53
2017,1457,54
2017,1308,55
2017,1195,56
2017,1245,57
2017,1233,58
2017,1297,59
2017,1407,60
2017,1240,61
2017,1315,62
2017,1411,63
2017,1355,64
2017,1413,65
2017,1300,66
2017,1309,67
2017,1291,68
2018,1438,1
2018,1437,2
2018,1242,3
2018,1462,4
2018,1314,5
2018,1181,6
2018,1345,7
2018,1153,8
2018,1277,9
2018,1397,10
2018,1276,11
2018,1403,12
2018,1120,13
2018,1455,14
2018,1211,15
2018,1112,16
2018,1246,17
2018,1452,18
2018,1155,19
2018,1326,20
2018,1196,21
2018,1274,22
2018,1222,23
2018,1395,24
2018,1401,25
2018,1116,26
2018,1305,27
2018,1348,28
2018,1371,29
2018,1166,30
2018,1439,31
2018,1281,32
2018,1139,33
2018,1243,34
2018,1344,35
2018,1104,36
2018,1301,37
2018,1199,38
2018,1400,39
2018,1328,40
2018,1417,41
2018,1382,42
2018,1113,43
2018,1393,44
2018,1361,45
2018,1260,46
2018,1308,47
2018,1172,48
2018,1355,49
2018,1293,50
2018,1138,51
2018,1422,52
2018,1158,53
2018,1267,54
2018,1137,55
2018,1285,56
2018,1460,57
2018,1372,58
2018,1252,59
2018,1209,60
2018,1168,61
2018,1233,62
2018,1420,63
2018,1335,64
2018,1347,65
2018,1254,66
2018,1300,67
2018,1411,68
2019,1181,1
2019,1438,2
2019,1314,3
2019,1211,4
2019,1397,5
2019,1277,6
2019,1246,7
2019,1276,8
2019,1222,9
2019,1403,10
2019,1261,11
2019,1345,12
2019,1242,13
2019,1199,14
2019,1243,15
2019,1439,16
2019,1266,17
2019,1120,18
2019,1458,19
2019,1280,20
2019,1437,21
2019,1268,22
2019,1138,23
2019,1235,24
2019,1257,25
2019,1305,26
2019,1153,27
2019,1459,28
2019,1433,29
2019,1393,30
2019,1279,31
2019,1429,32
2019,1449,33
2019,1416,34
2019,1124,35
2019,1328,36
2019,1234,37
2019,1371,38
2019,1278,39
2019,1196,40
2019,1326,41
2019,1125,42
2019,1396,43
2019,1388,44
2019,1113,45
2019,1293,46
2019,1385,47
2019,1332,48
2019,1308,49
2019,1251,50
2019,1414,51
2019,1436,52
2019,1387,53
2019,1318,54
2019,1463,55
2019,1330,56
2019,1209,57
2019,1297,58
2019,1285,59
2019,1159,60
2019,1133,61
2019,1101,62
2019,1205,63
2019,1233,64
2019,1341,65
2019,1192,66
2019,1295,67
2019,1300,68
